Nome: CARANGOLA
Codigo Estacao: A503
Latitude: -20.74166666
Longitude: -42.01749999
Altitude: 399
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2010-09-21
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);
2010-01-01;9;25,9;
2010-01-02;0;25,7;
2010-01-03;0;26,6;
2010-01-04;0;25,8;
2010-01-05;,8;26;
2010-01-06;8,8;26,1;
2010-01-07;29;26,5;
2010-01-08;0;27,3;
2010-01-09;2;27,7;
2010-01-10;0;27;
2010-01-11;0;27,4;
2010-01-12;0;27,6;
2010-01-13;1,2;27,4;
2010-01-14;0;28,1;
2010-01-15;0;25,1;
2010-01-16;2,4;25,8;
2010-01-17;0;26,7;
2010-01-18;0;26,4;
2010-01-19;0;27,8;
2010-01-20;0;27,7;
2010-01-21;0;27,8;
2010-01-22;,2;27;
2010-01-23;0;27;
2010-01-24;0;25,9;
2010-01-25;0;27;
2010-01-26;0;27,6;
2010-01-27;0;27,4;
2010-01-28;0;26,6;
2010-01-29;0;26,5;
2010-01-30;0;27,2;
2010-01-31;0;27,1;
2010-02-01;,4;27,2;
2010-02-02;0;28;
2010-02-03;0;27,2;
2010-02-04;0;26,2;
2010-02-05;7;25,6;
2010-02-06;3;25,2;
2010-02-07;0;26,6;
2010-02-08;10,8;27,1;
2010-02-09;0;27,5;
2010-02-10;4,6;26,3;
2010-02-11;0;25,9;
2010-02-12;,8;26,4;
2010-02-13;,2;26,6;
2010-02-14;0;27,2;
2010-02-15;0;26,9;
2010-02-16;0;28,4;
2010-02-17;0;28,7;
2010-02-18;15,6;25,8;
2010-02-19;0;26,7;
2010-02-20;0;25,5;
2010-02-21;4,4;26,5;
2010-02-22;0;27,5;
2010-02-23;0;28,2;
2010-02-24;0;30;
2010-02-25;0;27,7;
2010-02-26;14,2;22,4;
2010-02-27;21,4;22,4;
2010-02-28;0;23,7;
2010-03-01;6,6;22,4;
2010-03-02;14,6;21;
2010-03-03;1,4;22,5;
2010-03-04;,8;23,4;
2010-03-05;65,4;23,4;
2010-03-06;7,2;23,7;
2010-03-07;3,2;25,2;
2010-03-08;,6;27,8;
2010-03-09;,4;26,9;
2010-03-10;,2;26,5;
2010-03-11;7,6;27,5;
2010-03-12;27;26,7;
2010-03-13;6;25,9;
2010-03-14;4,2;28,4;
2010-03-15;0;26;
2010-03-16;10,4;23,6;
2010-03-17;42,4;22,4;
2010-03-18;3,6;23,9;
2010-03-19;1;24,4;
2010-03-20;0;24,9;
2010-03-21;29;25,1;
2010-03-22;6,4;26,4;
2010-03-23;,2;25,2;
2010-03-24;3,6;26;
2010-03-25;0;25,8;
2010-03-26;0;23,5;
2010-03-27;4;24,1;
2010-03-28;3,6;25,8;
2010-03-29;0;26,1;
2010-03-30;0;25,7;
2010-03-31;32,8;24,3;
2010-04-01;11;22,7;
2010-04-02;20,6;22,9;
2010-04-03;4,2;23,6;
2010-04-04;6,2;24,7;
2010-04-05;16;23,8;
2010-04-06;20;23,8;
2010-04-07;9,2;20,8;
2010-04-08;,2;18,8;
2010-04-09;0;19,3;
2010-04-10;,2;19,2;
2010-04-11;0;20,1;
2010-04-12;0;19,8;
2010-04-13;2,2;21,5;
2010-04-14;0;20,9;
2010-04-15;,2;22,8;
2010-04-16;0;22,5;
2010-04-17;,2;24,6;
2010-04-18;0;24;
2010-04-19;,2;23,6;
2010-04-20;0;22,4;
2010-04-21;,2;23,2;
2010-04-22;0;24;
2010-04-23;0;25,5;
2010-04-24;0;24,7;
2010-04-25;0;25;
2010-04-26;0;24,3;
2010-04-27;0;26;
2010-04-28;,2;23,4;
2010-04-29;,2;22,3;
2010-04-30;,2;20,6;
2010-05-01;2;21,2;
2010-05-02;0;21,8;
2010-05-03;,2;21,4;
2010-05-04;0;21;
2010-05-05;0;21,6;
2010-05-06;0;22,1;
2010-05-07;,2;22,5;
2010-05-08;0;22,9;
2010-05-09;0;22,1;
2010-05-10;26;18,5;
2010-05-11;11,6;18,5;
2010-05-12;,2;21,1;
2010-05-13;8,4;20,4;
2010-05-14;,2;18,1;
2010-05-15;,2;18,5;
2010-05-16;,2;19,9;
2010-05-17;0;20,3;
2010-05-18;,2;19,9;
2010-05-19;0;21,4;
2010-05-20;0;22,6;
2010-05-21;0;19,6;
2010-05-22;7,8;20,7;
2010-05-23;0;21,9;
2010-05-24;0;21,9;
2010-05-25;0;21,9;
2010-05-26;0;21,5;
2010-05-27;,4;19,9;
2010-05-28;5,6;18,9;
2010-05-29;,4;18,3;
2010-05-30;0;20,5;
2010-05-31;0;22,8;
2010-06-01;7,2;18,4;
2010-06-02;0;17,4;
2010-06-03;1,2;18,6;
2010-06-04;0;18,3;
2010-06-05;0;19;
2010-06-06;,2;18,8;
2010-06-07;0;16,1;
2010-06-08;,2;17;
2010-06-09;0;18,2;
2010-06-10;0;18,4;
2010-06-11;0;18,5;
2010-06-12;1,2;16,9;
2010-06-13;,2;14;
2010-06-14;0;16,6;
2010-06-15;0;16,2;
2010-06-16;,2;17,8;
2010-06-17;0;20,4;
2010-06-18;0;19,3;
2010-06-19;0;19,4;
2010-06-20;,2;21,2;
2010-06-21;0;21;
2010-06-22;0;19,4;
2010-06-23;0;19,5;
2010-06-24;0;20;
2010-06-25;0;18,6;
2010-06-26;,2;18,4;
2010-06-27;0;18,1;
2010-06-28;0;19,3;
2010-06-29;0;17,8;
2010-06-30;,2;16,6;
2010-07-01;0;17,7;
2010-07-02;0;18,7;
2010-07-03;0;18,2;
2010-07-04;0;18,3;
2010-07-05;0;17,9;
2010-07-06;,2;19,1;
2010-07-07;0;18,3;
2010-07-08;0;19,5;
2010-07-09;0;21,2;
2010-07-10;0;19,8;
2010-07-11;22,2;21,1;
2010-07-12;,2;20,4;
2010-07-13;0;21,9;
2010-07-14;0;22,1;
2010-07-15;,4;22,1;
2010-07-16;0;20,8;
2010-07-17;0;21;
2010-07-18;0;18,4;
2010-07-19;,8;17,9;
2010-07-20;,2;18,4;
2010-07-21;0;19;
2010-07-22;,2;19,3;
2010-07-23;0;22,3;
2010-07-24;0;20;
2010-07-25;,6;19,5;
2010-07-26;0;19,1;
2010-07-27;0;19;
2010-07-28;0;20,8;
2010-07-29;0;20,1;
2010-07-30;0;22,6;
