Data;PRECIPITACAO;TEMPERATURA
01/01/2010;32,4;22,2
02/01/2010;5,4;24
03/01/2010;0;24,9
04/01/2010;0;24,4
05/01/2010;19,8;23,7
06/01/2010;31,4;22
07/01/2010;49,4;22,2
08/01/2010;0;24,2
09/01/2010;0;25,2
10/01/2010;0;25,1
11/01/2010;0;26
12/01/2010;0;25,8
13/01/2010;0;25,1
14/01/2010;0,8;25,4
15/01/2010;34,4;22,2
16/01/2010;19,4;23,9
17/01/2010;0;24,1
18/01/2010;0;25,4
19/01/2010;0;25,6
20/01/2010;0;25,4
21/01/2010;null;23,4
22/01/2010;6,2;22,6
23/01/2010;9;22
24/01/2010;18,8;22,1
25/01/2010;9,4;23
26/01/2010;0;23,3
27/01/2010;0;24
28/01/2010;0;24,4
29/01/2010;0;24,2
30/01/2010;0;25,4
31/01/2010;0;24,6
01/02/2010;0;24,9
02/02/2010;0;25,5
03/02/2010;0;26,1
04/02/2010;0;25,7
05/02/2010;0;25
06/02/2010;0;23,6
07/02/2010;0,6;23,9
08/02/2010;0;23,9
09/02/2010;0;23,5
10/02/2010;1,4;23,1
11/02/2010;0,6;24,3
12/02/2010;0,4;24,1
13/02/2010;0;24,8
14/02/2010;0;25,4
15/02/2010;0;25,6
16/02/2010;0;26,4
17/02/2010;0;27,1
18/02/2010;0;25,7
19/02/2010;19,6;23
20/02/2010;0;24,9
21/02/2010;0;25
22/02/2010;0;25,9
23/02/2010;0;26,4
24/02/2010;0;26,4
25/02/2010;1,2;25,5
26/02/2010;2;22,4
27/02/2010;74,8;22,8
28/02/2010;0;22,4
01/03/2010;16;22,2
02/03/2010;1,2;21,7
03/03/2010;23;20,5
04/03/2010;79;22,4
05/03/2010;1,2;23,4
06/03/2010;11;22,8
07/03/2010;10;23,8
08/03/2010;0;24,2
09/03/2010;19,4;23,3
10/03/2010;0;25,2
11/03/2010;0;24,6
12/03/2010;0,4;25,3
13/03/2010;0,4;24,8
14/03/2010;0;24,3
15/03/2010;33;23
16/03/2010;8;22,3
17/03/2010;2,6;22,3
18/03/2010;0;22,7
19/03/2010;0;23,1
20/03/2010;0;23,5
21/03/2010;5,6;22,7
22/03/2010;9,2;21,9
23/03/2010;39,8;22,5
24/03/2010;1,4;23,9
25/03/2010;0;24,2
26/03/2010;0;23,4
27/03/2010;0;23,9
28/03/2010;0;24,3
29/03/2010;0;24,8
30/03/2010;0;25,1
31/03/2010;0;22,9
01/04/2010;4,8;22,4
02/04/2010;0;22,7
03/04/2010;0;22,5
04/04/2010;0,6;22,2
05/04/2010;34,8;23,2
06/04/2010;0;23,3
07/04/2010;3,2;20,1
08/04/2010;0;19,1
09/04/2010;0;18,7
10/04/2010;0;19,3
11/04/2010;0;18,9
12/04/2010;0;19,4
13/04/2010;0;20,1
14/04/2010;0;20
15/04/2010;0;20
16/04/2010;0;22,1
17/04/2010;0;22,9
18/04/2010;0;22,4
19/04/2010;0;22,7
20/04/2010;0;22,7
21/04/2010;0;22,9
22/04/2010;0;23,3
23/04/2010;0;24,1
24/04/2010;0;24,7
25/04/2010;0;23,7
26/04/2010;0;22,9
27/04/2010;0;24
28/04/2010;0;22,9
29/04/2010;1,2;22,6
30/04/2010;5;21,1
01/05/2010;5;21
02/05/2010;0;19,8
03/05/2010;0;20,4
04/05/2010;0,2;20,6
05/05/2010;0;21,1
06/05/2010;0;22
07/05/2010;0;22,2
08/05/2010;0,2;22,5
09/05/2010;0;22,2
10/05/2010;0,8;18
11/05/2010;10,4;17,6
12/05/2010;0,2;19,5
13/05/2010;0,8;18,2
14/05/2010;0;17,7
15/05/2010;0;19,8
16/05/2010;0,2;20,8
17/05/2010;0;21,7
18/05/2010;0;19,6
19/05/2010;0;20,5
20/05/2010;12,8;19,8
21/05/2010;0,2;20,3
22/05/2010;0;19,8
23/05/2010;0;21,3
24/05/2010;0;21,4
25/05/2010;0;22
26/05/2010;0;22,1
27/05/2010;0;20,3
28/05/2010;0;18,4
29/05/2010;0;17,9
30/05/2010;0;19,7
31/05/2010;0,2;19,2
01/06/2010;0;18,2
02/06/2010;0;16,8
03/06/2010;0,8;17,3
04/06/2010;0;17,3
05/06/2010;0;16,5
06/06/2010;0,2;17,5
07/06/2010;0,2;16,1
08/06/2010;0;18,3
09/06/2010;0;18,2
10/06/2010;0;18,2
11/06/2010;0;19,2
12/06/2010;0;16,9
13/06/2010;0;14,7
14/06/2010;0;15,2
15/06/2010;0;16,5
16/06/2010;0;17,4
17/06/2010;0;18,9
18/06/2010;0;19,4
19/06/2010;0;20,1
20/06/2010;0;18,8
21/06/2010;0;19,6
22/06/2010;0,2;20,6
23/06/2010;0;19,6
24/06/2010;0;19,2
25/06/2010;0;19,5
26/06/2010;0;17,7
27/06/2010;0;17,9
28/06/2010;0;17,9
29/06/2010;0;18,4
30/06/2010;0;17,6
01/07/2010;0;17,6
02/07/2010;0;17,9
03/07/2010;0;18,8
04/07/2010;0;18,8
05/07/2010;0;18,2
06/07/2010;0;19,4
07/07/2010;0;18,2
