Nome: DIVINOPOLIS
Codigo Estacao: A564
Latitude: -20.17333332
Longitude: -44.87499999
Altitude: 796
Situacao: Operante
Data Inicial: 2017-10-25
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);
2017-10-25;null;null;
2017-10-26;null;null;
2017-10-27;null;null;
2017-10-28;null;null;
2017-10-29;null;null;
2017-10-30;null;null;
2017-10-31;16;22,7;
2017-11-01;,8;20,9;
2017-11-02;0;21,9;
2017-11-03;0;23,1;
2017-11-04;0;23,5;
2017-11-05;6,8;23,6;
2017-11-06;0;23,1;
2017-11-07;14,4;21,4;
2017-11-08;0;21,5;
2017-11-09;,4;20,9;
2017-11-10;,2;21,5;
2017-11-11;14,2;21;
2017-11-12;28,8;22,9;
2017-11-13;0;23,5;
2017-11-14;0;23,6;
2017-11-15;0;25;
2017-11-16;0;24,8;
2017-11-17;0;25,5;
2017-11-18;,8;24,1;
2017-11-19;30,4;22,8;
2017-11-20;34;23,7;
2017-11-21;1,4;22,4;
2017-11-22;23,6;21,2;
2017-11-23;11;21;
2017-11-24;6,2;21,9;
2017-11-25;,2;23,7;
2017-11-26;0;23;
2017-11-27;0;21,5;
2017-11-28;18;23,9;
2017-11-29;17,6;23,5;
2017-11-30;15;22,7;
2017-12-01;79;19;
2017-12-02;58,6;21;
2017-12-03;10;22,4;
2017-12-04;21,4;23,9;
2017-12-05;0;24,7;
2017-12-06;14,6;23;
2017-12-07;0;21,7;
2017-12-08;42,6;22,8;
2017-12-09;25,2;24,1;
2017-12-10;0;24,8;
2017-12-11;0;23,6;
2017-12-12;0;23,8;
2017-12-13;0;23;
2017-12-14;0;23,1;
2017-12-15;0;23,1;
2017-12-16;7,4;21,2;
2017-12-17;2,6;21,6;
2017-12-18;3,8;24,2;
2017-12-19;,2;25,3;
2017-12-20;0;25,2;
2017-12-21;0;24,8;
2017-12-22;0;22,7;
2017-12-23;0;24,8;
2017-12-24;0;26,2;
2017-12-25;0;26,7;
2017-12-26;37,6;24,9;
2017-12-27;0;24,5;
2017-12-28;0;25,6;
2017-12-29;26,4;24,5;
2017-12-30;12,6;22;
2017-12-31;12,8;22,9;
2018-01-01;1,4;24,4;
2018-01-02;8;23,7;
2018-01-03;11,8;23,4;
2018-01-04;4,4;21,5;
2018-01-05;55,2;20,7;
2018-01-06;13;22,7;
2018-01-07;37,2;22,6;
2018-01-08;38;22,3;
2018-01-09;0;23,4;
2018-01-10;0;24,8;
2018-01-11;0;24,1;
2018-01-12;0;23;
2018-01-13;0;24,5;
2018-01-14;5,8;21,4;
2018-01-15;8,6;22,4;
2018-01-16;,4;24,1;
2018-01-17;0;25,6;
2018-01-18;0;25,6;
2018-01-19;0;25,1;
2018-01-20;0;25,8;
2018-01-21;0;25,3;
2018-01-22;0;25,9;
2018-01-23;0;25;
2018-01-24;8,8;24,4;
2018-01-25;50,4;24,3;
2018-01-26;0;24,2;
2018-01-27;4,4;24,5;
2018-01-28;0;25,4;
2018-01-29;0;24,5;
2018-01-30;37,4;22,5;
2018-01-31;61,2;23,2;
2018-02-01;3,6;22,9;
2018-02-02;0;21,5;
2018-02-03;16,2;22,8;
2018-02-04;0;21,2;
2018-02-05;9,6;19;
2018-02-06;17;20,5;
2018-02-07;13;22,6;
2018-02-08;0;24;
2018-02-09;,4;24,3;
2018-02-10;0;24,1;
2018-02-11;2,4;24,4;
2018-02-12;0;25,6;
2018-02-13;0;25,3;
2018-02-14;0;25,5;
2018-02-15;0;25;
2018-02-16;0;23,7;
2018-02-17;0;24,4;
2018-02-18;0;24,5;
2018-02-19;,2;23,1;
2018-02-20;34,2;23,2;
2018-02-21;,8;23,7;
2018-02-22;,4;22,9;
2018-02-23;,2;22,8;
2018-02-24;,2;22,4;
2018-02-25;37;21,7;
2018-02-26;14,6;23;
2018-02-27;,6;23,8;
2018-02-28;0;23,3;
2018-03-01;2,2;24,5;
2018-03-02;14,6;23,5;
2018-03-03;33;23,8;
2018-03-04;0;24,4;
2018-03-05;,4;24,2;
2018-03-06;,2;25,1;
2018-03-07;0;25,3;
2018-03-08;0;24,1;
2018-03-09;,2;22,9;
2018-03-10;0;23,7;
2018-03-11;,2;23,5;
2018-03-12;,2;24,6;
2018-03-13;0;25,7;
2018-03-14;,2;25,2;
2018-03-15;0;25,2;
2018-03-16;0;24,5;
2018-03-17;0;24,3;
2018-03-18;0;23,5;
2018-03-19;null;24,6;
2018-03-20;0;25;
2018-03-21;6,2;22,6;
2018-03-22;3,2;23,3;
2018-03-23;2;23,8;
2018-03-24;0;24,1;
2018-03-25;0;22,8;
2018-03-26;0;24,1;
2018-03-27;0;23,7;
2018-03-28;0;23,2;
2018-03-29;0;23,1;
2018-03-30;0;22,8;
2018-03-31;0;22,4;
2018-04-01;0;23,1;
2018-04-02;0;23,7;
2018-04-03;0;23,6;
2018-04-04;,6;23,4;
2018-04-05;0;23,8;
2018-04-06;0;22,7;
2018-04-07;2,2;22,5;
2018-04-08;,2;23,2;
2018-04-09;0;22,8;
2018-04-10;0;22,4;
2018-04-11;0;21,9;
2018-04-12;0;21,6;
2018-04-13;0;21,8;
2018-04-14;0;22,7;
2018-04-15;0;22,5;
2018-04-16;0;21;
2018-04-17;0;20,5;
2018-04-18;0;19,8;
2018-04-19;0;20,5;
2018-04-20;0;20,3;
2018-04-21;0;20;
2018-04-22;0;20,3;
2018-04-23;0;20,3;
2018-04-24;0;20,4;
2018-04-25;0;21,3;
2018-04-26;0;21,4;
2018-04-27;0;21,6;
2018-04-28;0;21,6;
2018-04-29;0;20,1;
2018-04-30;0;20,1;
2018-05-01;0;20,2;
2018-05-02;0;20;
2018-05-03;0;20,1;
2018-05-04;0;20,6;
2018-05-05;0;21,4;
2018-05-06;0;21,5;
2018-05-07;0;20,5;
2018-05-08;0;19,6;
2018-05-09;0;19,1;
2018-05-10;0;18,8;
2018-05-11;0;19,9;
2018-05-12;0;20,9;
2018-05-13;0;21,2;
2018-05-14;0;21,2;
2018-05-15;0;21,1;
2018-05-16;0;20,3;
2018-05-17;0;19,2;
2018-05-18;18,8;20,1;
2018-05-19;0;18,4;
2018-05-20;4,6;16,9;
2018-05-21;0;13,6;
2018-05-22;0;15,2;
2018-05-23;0;16,5;
2018-05-24;0;17,8;
2018-05-25;0;18,7;
2018-05-26;0;18;
2018-05-27;0;18,2;
2018-05-28;0;17,9;
2018-05-29;0;17,3;
2018-05-30;0;17,1;
2018-05-31;0;16,9;
2018-06-01;0;18,9;
2018-06-02;0;17,8;
2018-06-03;0;19,7;
2018-06-04;0;19,9;
2018-06-05;0;18,7;
2018-06-06;3,8;20;
2018-06-07;0;19,2;
2018-06-08;5,6;19;
2018-06-09;,2;19,5;
2018-06-10;0;20;
2018-06-11;0;19,7;
2018-06-12;0;20,1;
2018-06-13;0;20,9;
2018-06-14;0;21,3;
2018-06-15;0;21,4;
2018-06-16;0;20,4;
2018-06-17;0;19,5;
2018-06-18;0;18,6;
2018-06-19;0;17,6;
2018-06-20;0;17,3;
2018-06-21;0;17,6;
2018-06-22;0;18,5;
2018-06-23;0;18,8;
2018-06-24;0;20,1;
2018-06-25;0;19;
2018-06-26;0;20,9;
2018-06-27;0;19,2;
2018-06-28;0;18,3;
2018-06-29;0;17,3;
2018-06-30;0;17,2;
2018-07-01;0;18,2;
2018-07-02;0;19;
2018-07-03;0;19,2;
2018-07-04;0;19,5;
2018-07-05;0;18,7;
2018-07-06;0;18,2;
2018-07-07;0;18,1;
2018-07-08;0;18;
2018-07-09;0;19;
2018-07-10;0;18,4;
2018-07-11;0;17,3;
2018-07-12;0;16,7;
2018-07-13;0;17,1;
2018-07-14;0;17,7;
2018-07-15;0;18,3;
2018-07-16;0;18,2;
2018-07-17;0;18,2;
2018-07-18;0;18,9;
2018-07-19;0;18,9;
2018-07-20;0;19,1;
2018-07-21;0;19;
2018-07-22;0;19;
2018-07-23;0;18,6;
2018-07-24;0;18,3;
2018-07-25;0;19,6;
2018-07-26;0;17,5;
2018-07-27;0;17,9;
2018-07-28;0;18,5;
2018-07-29;0;18,7;
2018-07-30;0;19,5;
2018-07-31;0;18,6;
2018-08-01;0;18,3;
2018-08-02;9,2;18;
2018-08-03;1,2;19,5;
2018-08-04;22,2;17,9;
2018-08-05;,6;18,8;
2018-08-06;2,2;19,4;
2018-08-07;0;20;
2018-08-08;,2;21;
2018-08-09;9,2;20;
2018-08-10;,2;21,4;
2018-08-11;0;17,4;
2018-08-12;0;16,7;
2018-08-13;0;17,6;
2018-08-14;0;18,2;
2018-08-15;0;19;
2018-08-16;0;20,3;
2018-08-17;0;18;
2018-08-18;1,6;18,2;
2018-08-19;0;18,9;
2018-08-20;0;19,5;
2018-08-21;0;19,2;
2018-08-22;0;19,3;
2018-08-23;0;19,8;
2018-08-24;0;21,3;
2018-08-25;0;19,8;
2018-08-26;0;20,5;
2018-08-27;0;20,6;
2018-08-28;0;18,7;
2018-08-29;0;20,1;
2018-08-30;0;20,7;
2018-08-31;0;22,3;
2018-09-01;0;22,1;
2018-09-02;0;23,2;
2018-09-03;0;23,7;
2018-09-04;1,8;19,3;
2018-09-05;0;17,4;
2018-09-06;0;19,7;
2018-09-07;0;20,9;
2018-09-08;0;20,7;
2018-09-09;0;20,8;
2018-09-10;0;20,5;
2018-09-11;0;22,3;
2018-09-12;0;21,8;
2018-09-13;0;21,7;
2018-09-14;0;21,1;
2018-09-15;12;19,1;
2018-09-16;7,4;20;
2018-09-17;,6;20,1;
2018-09-18;1,6;20,4;
2018-09-19;2;22,2;
2018-09-20;1,6;20,5;
2018-09-21;3;22,5;
2018-09-22;0;23,8;
2018-09-23;0;24,8;
2018-09-24;0;25,1;
2018-09-25;0;25,9;
2018-09-26;0;25,3;
2018-09-27;0;26,2;
2018-09-28;0;26,8;
