Nome: BAMBUI
Codigo Estacao: A565
Latitude: -20.0311111
Longitude: -46.00888888
Altitude: 697
Situacao: Operante
Data Inicial: 2016-11-22
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);
2016-11-22;null;null;
2016-11-23;null;null;
2016-11-24;null;null;
2016-11-25;null;24,2;
2016-11-26;0;24,4;
2016-11-27;0;24,7;
2016-11-28;0;25,1;
2016-11-29;,6;24,6;
2016-11-30;12,6;23,2;
2016-12-01;3,6;20,3;
2016-12-02;0;22,4;
2016-12-03;0;23;
2016-12-04;9,2;22,7;
2016-12-05;20,8;22,5;
2016-12-06;3;25,3;
2016-12-07;0;24,8;
2016-12-08;3,2;22,6;
2016-12-09;6,2;23,1;
2016-12-10;,8;23,8;
2016-12-11;1,4;23,2;
2016-12-12;38;22,8;
2016-12-13;1,2;22,6;
2016-12-14;4;22,8;
2016-12-15;15,2;20,1;
2016-12-16;26,8;18,7;
2016-12-17;0;20,1;
2016-12-18;0;21,9;
2016-12-19;0;22,4;
2016-12-20;0;23,8;
2016-12-21;0;23,2;
2016-12-22;0;24;
2016-12-23;0;24,6;
2016-12-24;0;24,3;
2016-12-25;0;24,7;
2016-12-26;0;24,4;
2016-12-27;0;25,4;
2016-12-28;0;26;
2016-12-29;6,6;23,9;
2016-12-30;0;23;
2016-12-31;0;25;
2017-01-01;0;25,4;
2017-01-02;0;25,8;
2017-01-03;0;25,7;
2017-01-04;0;24,4;
2017-01-05;0;25,4;
2017-01-06;0;26,5;
2017-01-07;0;25,6;
2017-01-08;,2;25;
2017-01-09;8,2;24,4;
2017-01-10;,2;23,2;
2017-01-11;14,4;24,6;
2017-01-12;,2;23,3;
2017-01-13;18,2;22,3;
2017-01-14;6,2;22,7;
2017-01-15;16;22,4;
2017-01-16;22,6;22,8;
2017-01-17;7;23,1;
2017-01-18;,6;23,1;
2017-01-19;12,8;23;
2017-01-20;4,2;23,6;
2017-01-21;,2;23,6;
2017-01-22;0;23,8;
2017-01-23;0;23,5;
2017-01-24;,4;22,7;
2017-01-25;,4;23,1;
2017-01-26;2,6;23,6;
2017-01-27;1,6;25;
2017-01-28;0;24,8;
2017-01-29;0;23,7;
2017-01-30;0;23,7;
2017-01-31;0;23,8;
2017-02-01;6;21,9;
2017-02-02;2,8;22,7;
2017-02-03;40;22,1;
2017-02-04;3;22,6;
2017-02-05;4;23,8;
2017-02-06;,2;23,6;
2017-02-07;0;24,7;
2017-02-08;1,2;24,6;
2017-02-09;,2;24,6;
2017-02-10;0;24;
2017-02-11;0;23,8;
2017-02-12;0;23,7;
2017-02-13;null;null;
2017-02-14;0;23,6;
2017-02-15;0;22,5;
2017-02-16;0;22,7;
2017-02-17;0;23,1;
2017-02-18;0;24;
2017-02-19;0;24,7;
2017-02-20;0;24,3;
2017-02-21;,6;23,8;
2017-02-22;,2;22,7;
2017-02-23;0;23,1;
2017-02-24;0;22;
2017-02-25;15,6;22;
2017-02-26;,6;22;
2017-02-27;,2;21,9;
2017-02-28;10;23,3;
2017-03-01;1,8;22;
2017-03-02;8,2;22,2;
2017-03-03;,4;22,9;
2017-03-04;0;23,4;
2017-03-05;8,6;23,6;
2017-03-06;0;24,7;
2017-03-07;0;25,4;
2017-03-08;0;23,2;
2017-03-09;8,8;23,8;
2017-03-10;0;24,5;
2017-03-11;0;24,9;
2017-03-12;0;23,2;
2017-03-13;0;23,1;
2017-03-14;0;23,8;
2017-03-15;0;24,4;
2017-03-16;0;22,6;
2017-03-17;0;23,4;
2017-03-18;0;24,2;
2017-03-19;32,2;20,9;
2017-03-20;2,8;22,7;
2017-03-21;,2;22,5;
2017-03-22;0;21,7;
2017-03-23;0;20,6;
2017-03-24;0;21;
2017-03-25;0;22,6;
2017-03-26;0;23,6;
2017-03-27;0;22,1;
2017-03-28;17,8;21,8;
2017-03-29;0;21,2;
2017-03-30;0;20,1;
2017-03-31;0;20,4;
2017-04-01;0;20,9;
2017-04-02;0;19,3;
2017-04-03;0;19,5;
2017-04-04;0;19,8;
2017-04-05;0;21,2;
2017-04-06;0;23,4;
2017-04-07;3,6;22,5;
2017-04-08;3;23,7;
2017-04-09;,6;23,9;
2017-04-10;,2;24;
2017-04-11;0;23,4;
2017-04-12;0;24,5;
2017-04-13;0;23,9;
2017-04-14;0;23,8;
2017-04-15;0;22,5;
2017-04-16;0;21,7;
2017-04-17;0;22,8;
2017-04-18;0;23,6;
2017-04-19;12;21,1;
2017-04-20;0;22;
2017-04-21;0;21,5;
2017-04-22;,4;21,6;
2017-04-23;,2;20,2;
2017-04-24;0;21,2;
2017-04-25;0;21,8;
2017-04-26;0;22,1;
2017-04-27;2,2;22,7;
2017-04-28;11,6;21,7;
2017-04-29;0;20,8;
2017-04-30;0;20,4;
2017-05-01;0;20,6;
2017-05-02;0;20,9;
2017-05-03;0;20,1;
2017-05-04;0;20,5;
2017-05-05;0;19,5;
2017-05-06;32,6;18,4;
2017-05-07;6,8;18,3;
2017-05-08;,2;18,3;
2017-05-09;0;19,4;
2017-05-10;0;18,9;
2017-05-11;0;19;
2017-05-12;0;18,2;
2017-05-13;0;18,4;
2017-05-14;0;20;
2017-05-15;1,4;21,2;
2017-05-16;,2;21,3;
2017-05-17;0;21,1;
2017-05-18;0;20,5;
2017-05-19;,4;19,6;
2017-05-20;38,2;19,2;
2017-05-21;,4;20,9;
2017-05-22;0;20,8;
2017-05-23;22,8;20,3;
2017-05-24;0;19,4;
2017-05-25;,2;19,1;
2017-05-26;0;18,8;
2017-05-27;0;18,8;
2017-05-28;0;18;
2017-05-29;,2;17,7;
2017-05-30;0;16,9;
2017-05-31;0;17,1;
2017-06-01;0;null;
2017-06-02;null;19,9;
2017-06-03;0;18,6;
2017-06-04;0;19,4;
2017-06-05;0;19,6;
2017-06-06;0;19,5;
2017-06-07;0;18,8;
2017-06-08;,2;18,4;
2017-06-09;0;20,1;
2017-06-10;0;18,6;
2017-06-11;0;15,5;
2017-06-12;0;18;
2017-06-13;7,6;19,2;
2017-06-14;18,8;20;
2017-06-15;0;17,5;
2017-06-16;0;16,2;
2017-06-17;0;16,1;
2017-06-18;0;15,9;
2017-06-19;0;16,6;
2017-06-20;0;18,7;
2017-06-21;0;16,5;
2017-06-22;0;16,5;
2017-06-23;0;16;
2017-06-24;0;15,7;
2017-06-25;0;15,9;
2017-06-26;0;14,8;
2017-06-27;0;14,4;
2017-06-28;0;15,4;
2017-06-29;,2;15,5;
2017-06-30;0;14,8;
2017-07-01;0;14,3;
2017-07-02;0;16;
2017-07-03;0;14,3;
2017-07-04;0;11,7;
2017-07-05;0;15,7;
2017-07-06;0;15,7;
2017-07-07;0;16,1;
2017-07-08;0;14,1;
2017-07-09;0;14,8;
2017-07-10;0;15,2;
2017-07-11;0;16,2;
2017-07-12;0;15,9;
2017-07-13;0;15,5;
2017-07-14;0;14,6;
2017-07-15;0;15,7;
2017-07-16;0;14,5;
2017-07-17;0;14,5;
2017-07-18;0;15,2;
2017-07-19;0;15,9;
2017-07-20;0;17,2;
2017-07-21;0;16,6;
2017-07-22;2,2;16,8;
2017-07-23;0;15,5;
2017-07-24;0;14,3;
2017-07-25;0;15,5;
2017-07-26;0;14,6;
2017-07-27;0;14,1;
2017-07-28;0;14,6;
2017-07-29;0;15,1;
2017-07-30;0;15,1;
2017-07-31;0;14,3;
2017-08-01;0;13,1;
2017-08-02;0;14,1;
2017-08-03;0;17,3;
2017-08-04;0;19,4;
2017-08-05;0;14,9;
2017-08-06;0;15,3;
2017-08-07;0;16;
2017-08-08;0;17;
2017-08-09;0;19,1;
2017-08-10;0;20,3;
2017-08-11;0;18,8;
2017-08-12;0;18,4;
2017-08-13;0;18,6;
2017-08-14;0;20,1;
2017-08-15;0;21,5;
2017-08-16;0;21,1;
2017-08-17;0;20,8;
2017-08-18;0;21,6;
2017-08-19;0;21,3;
2017-08-20;0;22,4;
2017-08-21;0;null;
2017-08-22;null;20,1;
2017-08-23;0;18,8;
2017-08-24;0;17,8;
2017-08-25;0;17,7;
2017-08-26;0;15,9;
2017-08-27;0;17,4;
2017-08-28;0;18,2;
2017-08-29;0;18,8;
2017-08-30;0;18,7;
2017-08-31;0;20,7;
2017-09-01;0;20,7;
2017-09-02;0;18,8;
2017-09-03;0;16,4;
2017-09-04;null;null;
2017-09-05;0;16,7;
2017-09-06;0;null;
2017-09-07;null;null;
2017-09-08;0;18,1;
2017-09-09;0;17,7;
2017-09-10;0;18,4;
2017-09-11;0;19,9;
2017-09-12;0;19,4;
2017-09-13;null;18,7;
2017-09-14;0;null;
2017-09-15;0;19,7;
2017-09-16;0;19,4;
2017-09-17;0;19,3;
2017-09-18;0;20,2;
2017-09-19;0;20,8;
2017-09-20;0;20,3;
2017-09-21;0;19,9;
2017-09-22;0;18,5;
2017-09-23;0;19,2;
2017-09-24;0;20,1;
2017-09-25;0;19,6;
2017-09-26;0;19;
2017-09-27;0;21;
2017-09-28;19;21,6;
2017-09-29;0;23,9;
2017-09-30;22,4;18,9;
2017-10-01;11,2;21,4;
2017-10-02;9,4;19,3;
2017-10-03;29,4;18,4;
2017-10-04;1,4;20;
2017-10-05;,2;22,5;
2017-10-06;0;23,5;
2017-10-07;0;23;
2017-10-08;0;23,9;
2017-10-09;0;23,8;
2017-10-10;0;24,1;
2017-10-11;0;24,9;
2017-10-12;0;25,1;
2017-10-13;0;23,9;
2017-10-14;0;23,2;
2017-10-15;0;24,3;
2017-10-16;0;25,3;
2017-10-17;0;24,3;
2017-10-18;0;22,7;
2017-10-19;0;22;
2017-10-20;0;22,8;
2017-10-21;0;22,6;
2017-10-22;,2;24,4;
2017-10-23;0;21,5;
2017-10-24;0;23,8;
2017-10-25;0;24,8;
2017-10-26;0;23,1;
2017-10-27;7,6;22,2;
2017-10-28;14;22;
2017-10-29;3,6;21,6;
2017-10-30;null;22,4;
2017-10-31;11,2;23,3;
2017-11-01;0;21,8;
2017-11-02;0;22,9;
2017-11-03;0;22,8;
2017-11-04;0;24,1;
2017-11-05;5;22,8;
2017-11-06;0;23,6;
2017-11-07;2,8;22,3;
2017-11-08;0;22,6;
2017-11-09;0;20,8;
2017-11-10;1,8;21,4;
2017-11-11;1,8;23,1;
2017-11-12;19;23,9;
2017-11-13;,2;22,3;
2017-11-14;0;21,9;
2017-11-15;0;23,5;
2017-11-16;0;24,1;
2017-11-17;0;23,9;
2017-11-18;11,8;22,1;
2017-11-19;1,4;22,2;
2017-11-20;30,4;22,7;
2017-11-21;21;22,1;
2017-11-22;66,8;21;
2017-11-23;3,6;22,3;
2017-11-24;1,6;22,9;
2017-11-25;0;24,4;
2017-11-26;9,4;21,7;
2017-11-27;1,2;22,4;
2017-11-28;null;24,4;
2017-11-29;1;24,2;
2017-11-30;7;22,9;
2017-12-01;40,4;19,8;
2017-12-02;63,4;21,3;
