Nome: NOVA VENECIA
Codigo Estacao: A623
Latitude: -18.69527777
Longitude: -40.39055555
Altitude: 156.02
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2023-05-15
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);
2010-01-01;,2;26,8;
2010-01-02;0;26,1;
2010-01-03;,6;26,6;
2010-01-04;,4;27,2;
2010-01-05;0;27,2;
2010-01-06;0;27,1;
2010-01-07;0;27,3;
2010-01-08;0;27,3;
2010-01-09;1,2;27,7;
2010-01-10;0;27,6;
2010-01-11;0;27,5;
2010-01-12;0;27,2;
2010-01-13;0;null;
2010-01-14;null;27,9;
2010-01-15;0;27,9;
2010-01-16;0;27,3;
2010-01-17;0;27,1;
2010-01-18;0;26,5;
2010-01-19;0;27,2;
2010-01-20;0;27,5;
2010-01-21;0;28,1;
2010-01-22;0;27,7;
2010-01-23;0;27,8;
2010-01-24;,2;27,5;
2010-01-25;,4;27,6;
2010-01-26;,4;27,3;
2010-01-27;0;26,2;
2010-01-28;,2;27,3;
2010-01-29;1;27,1;
2010-01-30;0;27,7;
2010-01-31;0;27,8;
2010-02-01;11,4;26,5;
2010-02-02;,6;27,6;
2010-02-03;2,2;27,4;
2010-02-04;3,8;26,8;
2010-02-05;0;24,7;
2010-02-06;2,6;24,5;
2010-02-07;13,2;26,4;
2010-02-08;0;27,2;
2010-02-09;0;27,2;
2010-02-10;0;27;
2010-02-11;7,8;25,9;
2010-02-12;0;26,8;
2010-02-13;0;24,6;
2010-02-14;9,8;25,2;
2010-02-15;3;26,7;
2010-02-16;0;27,6;
2010-02-17;0;27,9;
2010-02-18;0;27,6;
2010-02-19;10;26,9;
2010-02-20;0;26,5;
2010-02-21;,6;26,9;
2010-02-22;0;27,4;
2010-02-23;0;28,1;
2010-02-24;0;28,6;
2010-02-25;0;28,3;
2010-02-26;0;27,4;
2010-02-27;0;27,1;
2010-02-28;0;24,9;
2010-03-01;107;25,9;
2010-03-02;5,4;25,2;
2010-03-03;1;25,5;
2010-03-04;9,2;25,9;
2010-03-05;,2;25,8;
2010-03-06;,2;25,2;
2010-03-07;1,6;27,1;
2010-03-08;1,4;27,8;
2010-03-09;3;26,6;
2010-03-10;,2;27,3;
2010-03-11;0;27,6;
2010-03-12;1,4;28;
2010-03-13;1,4;28;
2010-03-14;1,8;27,4;
2010-03-15;0;27,3;
2010-03-16;0;27;
2010-03-17;0;26,2;
2010-03-18;2,2;25,1;
2010-03-19;6,8;25,1;
2010-03-20;0;25,4;
2010-03-21;2;26,3;
2010-03-22;1,4;26,2;
2010-03-23;,2;27;
2010-03-24;0;25,5;
2010-03-25;1,8;24,8;
2010-03-26;23,4;26,3;
2010-03-27;2,8;25,6;
2010-03-28;1,2;25;
2010-03-29;10,2;26,6;
2010-03-30;0;27,1;
2010-03-31;,2;26,2;
2010-04-01;0;26;
2010-04-02;0;25,4;
2010-04-03;23,4;24,5;
2010-04-04;5,4;25,3;
2010-04-05;2,8;25,7;
2010-04-06;16,8;25,5;
2010-04-07;34,2;23,8;
2010-04-08;1,6;23,3;
2010-04-09;0;22;
2010-04-10;0;21,7;
2010-04-11;0;21,4;
2010-04-12;0;22,1;
2010-04-13;1,4;22,8;
2010-04-14;2;23,3;
2010-04-15;0;23,9;
2010-04-16;,4;23,3;
2010-04-17;40,4;23,6;
2010-04-18;,2;24,4;
2010-04-19;7,4;24,5;
2010-04-20;0;23,7;
2010-04-21;,8;25;
2010-04-22;0;25;
2010-04-23;0;25,2;
2010-04-24;0;24,8;
2010-04-25;,2;24,3;
2010-04-26;2,8;23,9;
2010-04-27;,2;25,7;
2010-04-28;0;24,7;
2010-04-29;0;24,2;
