Nome: VENDA NOVA DO IMIGRANTE
Codigo Estacao: A633
Latitude: -20.38555555
Longitude: -41.18999999
Altitude: 722
Situacao: Operante
Data Inicial: 2017-02-09
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);
2017-02-09;null;null;
2017-02-10;null;null;
2017-02-11;null;21,2;
2017-02-12;3,4;21,2;
2017-02-13;null;null;
2017-02-14;0;21,4;
2017-02-15;,8;21,5;
2017-02-16;7,6;21,4;
2017-02-17;6,6;22,4;
2017-02-18;0;22,7;
2017-02-19;0;22,9;
2017-02-20;,4;22,1;
2017-02-21;,2;20,8;
2017-02-22;1;20,4;
2017-02-23;3,6;22,2;
2017-02-24;0;22,6;
2017-02-25;0;23,2;
2017-02-26;0;22,2;
2017-02-27;0;22,6;
2017-02-28;0;22,4;
2017-03-01;5;22,3;
2017-03-02;,2;24,1;
2017-03-03;0;23,2;
2017-03-04;0;22,3;
2017-03-05;0;23,1;
2017-03-06;0;24,5;
2017-03-07;1,4;23,6;
2017-03-08;3,8;21,8;
2017-03-09;9,6;21,6;
2017-03-10;1;21,4;
2017-03-11;0;21,8;
2017-03-12;0;21,9;
2017-03-13;0;22,7;
2017-03-14;0;22,1;
2017-03-15;0;20,1;
2017-03-16;1,4;20,7;
2017-03-17;0;22,3;
2017-03-18;0;22;
2017-03-19;24,8;20,8;
2017-03-20;7,8;19,2;
2017-03-21;3,8;18,8;
2017-03-22;,2;20,1;
2017-03-23;0;19,1;
2017-03-24;0;19,7;
2017-03-25;0;21,9;
2017-03-26;,2;21,6;
2017-03-27;6,8;20,7;
2017-03-28;8,6;18,5;
2017-03-29;12,2;19,2;
2017-03-30;,2;18,3;
2017-03-31;0;19,2;
2017-04-01;22,2;18,9;
2017-04-02;,2;19,4;
2017-04-03;0;20,9;
2017-04-04;0;20,6;
2017-04-05;,8;21,3;
2017-04-06;,6;21,7;
2017-04-07;0;21,8;
2017-04-08;0;21,5;
2017-04-09;0;21,2;
2017-04-10;0;21,6;
2017-04-11;1,6;22,2;
2017-04-12;0;21,8;
2017-04-13;2,4;19,3;
2017-04-14;4;20,1;
2017-04-15;0;21,3;
2017-04-16;,2;21,2;
2017-04-17;0;21,6;
2017-04-18;,8;19,1;
2017-04-19;0;17,4;
2017-04-20;,2;18,8;
2017-04-21;0;18,3;
2017-04-22;0;20;
2017-04-23;10,2;18,2;
2017-04-24;19,4;18,2;
2017-04-25;2,6;19,1;
2017-04-26;,2;20,4;
2017-04-27;0;21,7;
2017-04-28;4,8;18,8;
2017-04-29;3,4;16,5;
2017-04-30;5,4;16,7;
2017-05-01;,8;17,3;
2017-05-02;,2;16,9;
2017-05-03;0;18,3;
2017-05-04;0;19,6;
2017-05-05;0;19;
2017-05-06;0;18,8;
2017-05-07;16,4;19;
2017-05-08;0;19,8;
2017-05-09;0;19,6;
2017-05-10;0;19,5;
2017-05-11;0;18,4;
2017-05-12;0;17;
2017-05-13;0;15,8;
2017-05-14;0;17,6;
2017-05-15;0;19,5;
2017-05-16;0;17,3;
2017-05-17;7;16,3;
2017-05-18;1,8;16;
2017-05-19;,8;16,4;
2017-05-20;10;18,5;
2017-05-21;0;19;
2017-05-22;6,6;19,6;
2017-05-23;9,6;18,9;
2017-05-24;,2;19;
2017-05-25;,2;18,9;
2017-05-26;0;17;
2017-05-27;0;17,4;
2017-05-28;0;17,6;
2017-05-29;0;17,2;
2017-05-30;,2;16,1;
2017-05-31;0;17,7;
2017-06-01;0;null;
2017-06-02;null;20,6;
2017-06-03;,6;16,7;
2017-06-04;0;18,8;
2017-06-05;,2;18,4;
2017-06-06;0;18,8;
2017-06-07;0;19,6;
2017-06-08;0;18,8;
2017-06-09;0;19,5;
2017-06-10;0;16,7;
2017-06-11;2;16,9;
2017-06-12;0;17,2;
2017-06-13;0;18,7;
2017-06-14;0;18,7;
2017-06-15;1;17,2;
2017-06-16;1,2;17;
2017-06-17;0;16,6;
2017-06-18;,2;16,9;
2017-06-19;0;16,3;
2017-06-20;0;16,2;
2017-06-21;3,4;16,5;
2017-06-22;2,2;16,4;
2017-06-23;,8;15,5;
2017-06-24;3,4;16,1;
2017-06-25;1,4;14,9;
2017-06-26;3;16,3;
2017-06-27;,6;14,9;
2017-06-28;11,4;17,3;
2017-06-29;,2;15,2;
2017-06-30;0;15,6;
2017-07-01;,2;14,9;
2017-07-02;,2;14,5;
2017-07-03;7,2;12,9;
2017-07-04;2,8;12,3;
2017-07-05;1,6;13,8;
2017-07-06;2,2;14,8;
2017-07-07;,8;15,4;
2017-07-08;,2;15,2;
2017-07-09;,8;15,1;
2017-07-10;1,6;16,1;
2017-07-11;,2;15,3;
2017-07-12;0;17,2;
2017-07-13;0;14,8;
2017-07-14;1;14,1;
2017-07-15;5;14,1;
2017-07-16;0;15,2;
2017-07-17;1,2;17,2;
2017-07-18;0;16,2;
2017-07-19;1,6;15;
2017-07-20;1,4;15,8;
2017-07-21;1,2;16,1;
2017-07-22;,2;15,5;
2017-07-23;0;15,2;
2017-07-24;0;15,6;
2017-07-25;,2;15,5;
2017-07-26;0;14,5;
2017-07-27;,2;13,2;
2017-07-28;,2;14,1;
2017-07-29;2;14,6;
2017-07-30;1,4;13,1;
2017-07-31;,8;14,2;
2017-08-01;,2;14,1;
2017-08-02;0;16,6;
2017-08-03;0;16,7;
2017-08-04;0;17,3;
2017-08-05;,2;14,9;
2017-08-06;0;14,5;
2017-08-07;0;13,1;
2017-08-08;,2;14,6;
2017-08-09;0;16,8;
2017-08-10;0;16,8;
2017-08-11;0;15,9;
2017-08-12;,4;16,2;
2017-08-13;0;17,3;
2017-08-14;,2;16;
2017-08-15;0;17,4;
2017-08-16;0;17,9;
2017-08-17;0;17,6;
2017-08-18;0;19,1;
2017-08-19;0;17,8;
2017-08-20;0;17,9;
2017-08-21;0;null;
2017-08-22;null;13,9;
2017-08-23;4,4;13,9;
2017-08-24;4,4;14,7;
2017-08-25;0;13,9;
2017-08-26;,2;14,5;
2017-08-27;0;15,7;
2017-08-28;,2;16;
2017-08-29;0;16,6;
2017-08-30;,2;17,4;
2017-08-31;0;18,7;
2017-09-01;0;16,1;
2017-09-02;4,6;14,4;
2017-09-03;,2;14,7;
2017-09-04;null;null;
2017-09-05;0;16,6;
2017-09-06;0;null;
2017-09-07;null;null;
2017-09-08;null;16,6;
2017-09-09;0;17;
2017-09-10;0;19,2;
2017-09-11;2,4;18,3;
2017-09-12;0;16,5;
2017-09-13;0;17,6;
2017-09-14;0;19,7;
2017-09-15;0;17,9;
2017-09-16;0;18,2;
2017-09-17;0;18,6;
2017-09-18;0;19,2;
2017-09-19;0;18,7;
2017-09-20;0;18,4;
2017-09-21;0;18;
2017-09-22;0;17,9;
2017-09-23;0;18,7;
2017-09-24;0;19,3;
2017-09-25;0;18,4;
2017-09-26;0;18;
2017-09-27;0;20;
2017-09-28;0;19,9;
2017-09-29;10,8;20,4;
2017-09-30;0;19,8;
2017-10-01;15,2;20,1;
2017-10-02;0;21,6;
2017-10-03;0;22,5;
2017-10-04;2,6;17,3;
2017-10-05;,6;18,3;
2017-10-06;,2;19,6;
2017-10-07;0;20,9;
2017-10-08;,4;20,2;
2017-10-09;0;20,8;
2017-10-10;0;19,8;
2017-10-11;0;20;
2017-10-12;0;21,4;
2017-10-13;0;21,6;
2017-10-14;0;20,8;
2017-10-15;0;19,4;
2017-10-16;1,8;17,7;
2017-10-17;10;18,3;
2017-10-18;17,8;18,6;
2017-10-19;0;20,3;
2017-10-20;0;21,6;
2017-10-21;0;23;
2017-10-22;0;24;
2017-10-23;0;21;
2017-10-24;6,8;19,8;
2017-10-25;0;21,2;
2017-10-26;0;21,3;
2017-10-27;0;21;
2017-10-28;1;22,9;
2017-10-29;,2;23,1;
2017-10-30;,2;21,9;
2017-10-31;0;23,5;
2017-11-01;5,4;18,1;
2017-11-02;3;16,8;
2017-11-03;0;20;
2017-11-04;0;21,7;
2017-11-05;0;22,8;
2017-11-06;12,4;18,4;
2017-11-07;3,8;15,9;
2017-11-08;3;16,6;
2017-11-09;8;17,6;
2017-11-10;7,6;20,1;
2017-11-11;0;21,1;
2017-11-12;5,2;19,1;
2017-11-13;3,6;21,3;
2017-11-14;,2;19,4;
2017-11-15;0;21,4;
2017-11-16;0;22,8;
2017-11-17;0;24,1;
2017-11-18;0;22,5;
2017-11-19;0;22,6;
2017-11-20;5,4;22,7;
2017-11-21;32,6;21,4;
2017-11-22;0;22,2;
2017-11-23;11,6;17,7;
2017-11-24;20,4;18,6;
2017-11-25;,2;21,5;
2017-11-26;0;20,4;
2017-11-27;0;22,6;
2017-11-28;0;21,3;
2017-11-29;99,8;19,7;
2017-11-30;0;19,8;
2017-12-01;47,8;18,7;
2017-12-02;65,6;19,7;
2017-12-03;8,8;20,7;
2017-12-04;21;22,3;
2017-12-05;,6;21,8;
2017-12-06;20,8;19,1;
2017-12-07;1,2;19,5;
2017-12-08;,2;21,3;
2017-12-09;21;21,6;
2017-12-10;0;21,7;
2017-12-11;25,6;21,6;
2017-12-12;1,2;19,8;
2017-12-13;,2;18,1;
2017-12-14;1,8;18,5;
2017-12-15;4;21,5;
2017-12-16;,4;22,2;
